round_epochs,loss,accuracy,val_loss,val_accuracy,output_count_lstm,output_count_dense,batch_size,epochs,optimizer,activation,last_activation,dropout,loss
2,0.05076858773827553,0.9839491844177246,0.04746628925204277,0.9942658543586731,40,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05258706212043762,0.9928010106086731,0.047869544476270676,0.9942658543586731,40,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05053174868226051,0.9915319681167603,0.045817311853170395,0.9941091537475586,40,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05175700783729553,0.9890174269676208,0.04652835428714752,0.9942658543586731,40,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.049700647592544556,0.9894717931747437,0.045982521027326584,0.9941091537475586,40,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05219065397977829,0.9883437752723694,0.04655934125185013,0.9942658543586731,40,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04965534061193466,0.9819203019142151,0.04659724608063698,0.9942658543586731,50,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05220445990562439,0.9866047501564026,0.046258796006441116,0.9942658543586731,50,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04947979375720024,0.9734679460525513,0.04567091912031174,0.9942658543586731,50,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05180756002664566,0.9861974120140076,0.04862956330180168,0.9942345023155212,50,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.050082579255104065,0.9884612560272217,0.04596078023314476,0.9942345023155212,50,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05149948596954346,0.9884926080703735,0.045853015035390854,0.9939525127410889,50,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.049634553492069244,0.9786067605018616,0.04551798477768898,0.9942345023155212,60,30,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05197417363524437,0.9856725335121155,0.04668935015797615,0.9942658543586731,60,30,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.05012938380241394,0.9885866045951843,0.04665005952119827,0.9940778613090515,60,40,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.05109512060880661,0.9887040853500366,0.046193625777959824,0.9942658543586731,60,40,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
2,0.04957941174507141,0.9783874154090881,0.04541373252868652,0.9941718578338623,60,50,32,2,adam,relu,sigmoid,0.1,binary_crossentropy
2,0.050344161689281464,0.9870277643203735,0.045646194368600845,0.9933884739875793,60,50,32,2,adam,relu,sigmoid,0.2,binary_crossentropy
